Time,Value
2022-11-17 12:59:48,415
2022-11-17 12:58:48,411
2022-11-17 12:57:48,413
2022-11-17 12:56:48,412
2022-11-17 12:55:48,428
2022-11-17 12:54:48,417
2022-11-17 12:53:48,414
2022-11-17 12:52:48,418
2022-11-17 12:51:48,417
2022-11-17 12:50:48,417
2022-11-17 12:49:48,422
2022-11-17 12:48:48,428
2022-11-17 12:47:48,428
2022-11-17 12:46:48,423
2022-11-17 12:45:48,421
2022-11-17 12:44:48,419
2022-11-17 12:43:48,423
2022-11-17 12:42:48,414
2022-11-17 12:41:48,407
2022-11-17 12:36:48,405
2022-11-17 12:35:48,407
2022-11-17 12:34:48,401
2022-11-17 12:28:48,425
2022-11-17 12:27:48,464
2022-11-17 12:26:48,467
2022-11-17 12:25:48,463
2022-11-17 12:24:48,468
2022-11-17 12:23:48,472
2022-11-17 12:22:48,468
2022-11-17 12:21:48,480
2022-11-17 12:20:48,481
2022-11-17 12:19:48,484
2022-11-17 12:18:48,482
2022-11-17 12:17:48,482
2022-11-17 12:16:48,494
2022-11-17 12:15:48,485
2022-11-17 12:14:48,482
2022-11-17 12:13:48,488
2022-11-17 12:12:48,491
2022-11-17 12:11:48,493
2022-11-17 12:10:48,496
2022-11-17 12:09:48,497
2022-11-17 12:08:48,498
2022-11-17 12:07:48,487
2022-11-17 12:06:48,497
2022-11-17 12:05:48,491
2022-11-17 12:04:48,484
2022-11-17 12:03:48,485
2022-11-17 12:02:48,482
2022-11-17 12:01:48,488
2022-11-17 12:00:48,488
2022-11-17 11:59:48,486
2022-11-17 11:58:48,488
2022-11-17 11:57:48,489
2022-11-17 11:56:48,495
2022-11-17 11:55:48,489
2022-11-17 11:54:48,520
2022-11-17 11:53:48,525
2022-11-17 11:52:48,544
2022-11-17 11:51:48,549
2022-11-17 11:50:48,546
2022-11-17 11:49:48,538
2022-11-17 11:48:48,537
2022-11-17 11:47:48,530
2022-11-17 11:46:48,531
2022-11-17 11:45:48,540
2022-11-17 11:44:47,523
2022-11-17 11:43:47,534
2022-11-17 11:42:47,527
2022-11-17 11:41:47,532
2022-11-17 11:40:47,527
2022-11-17 11:39:47,534
2022-11-17 11:38:47,554
2022-11-17 11:37:47,590
2022-11-17 11:36:47,582
2022-11-17 11:35:47,594
2022-11-17 11:34:47,607
2022-11-17 11:33:47,608
2022-11-17 11:32:47,618
2022-11-17 11:31:47,618
2022-11-17 11:30:47,614
2022-11-17 11:29:47,617
2022-11-17 11:28:47,636
2022-11-17 11:27:47,629
2022-11-17 11:26:47,639
2022-11-17 11:25:47,638
2022-11-17 11:24:47,637
2022-11-17 11:23:47,644
2022-11-17 11:22:47,646
2022-11-17 11:21:47,641
2022-11-17 11:20:47,637
2022-11-17 11:19:47,661
2022-11-17 11:18:47,656
2022-11-17 11:17:47,664
2022-11-17 11:16:47,658
2022-11-17 11:15:47,668
2022-11-17 11:14:47,668
2022-11-17 11:13:47,672
2022-11-17 11:12:47,674
2022-11-17 11:11:47,675
2022-11-17 11:10:47,668
2022-11-17 11:09:47,669
2022-11-17 11:08:47,669
2022-11-17 11:07:47,671
2022-11-17 11:06:47,679
2022-11-17 11:05:47,668
2022-11-17 11:04:47,680
2022-11-17 11:03:47,679
2022-11-17 11:02:47,689
2022-11-17 11:01:47,686
2022-11-17 11:00:47,688
2022-11-17 10:59:47,692
2022-11-17 10:58:47,698
2022-11-17 10:57:47,703
2022-11-17 10:56:47,701
2022-11-17 10:55:47,693
2022-11-17 10:54:47,691
2022-11-17 10:53:47,708
2022-11-17 10:52:47,692
2022-11-17 10:51:47,696
2022-11-17 10:50:47,699
2022-11-17 10:49:47,692
2022-11-17 10:48:48,687
2022-11-17 10:47:47,696
2022-11-17 10:46:47,693
2022-11-17 10:45:47,696
2022-11-17 10:44:47,697
2022-11-17 10:43:47,707
2022-11-17 10:42:47,714
2022-11-17 10:41:47,709
2022-11-17 10:40:47,714
2022-11-17 10:39:47,715
2022-11-17 10:38:47,728
2022-11-17 10:37:47,722
2022-11-17 10:36:47,737
2022-11-17 10:35:47,730
2022-11-17 10:34:47,730
2022-11-17 10:33:47,738
2022-11-17 10:32:47,738
2022-11-17 10:31:47,738
2022-11-17 10:30:47,740
2022-11-17 10:29:47,744
2022-11-17 10:28:47,754
2022-11-17 10:27:47,748
2022-11-17 10:26:47,753
2022-11-17 10:25:47,762
2022-11-17 10:24:47,760
2022-11-17 10:23:47,754
2022-11-17 10:22:47,763
2022-11-17 10:21:47,760
2022-11-17 10:20:47,761
2022-11-17 10:19:47,773
2022-11-17 10:18:47,760
2022-11-17 10:17:47,760
2022-11-17 10:16:47,760
2022-11-17 10:15:47,775
2022-11-17 10:14:47,775
2022-11-17 10:13:47,770
2022-11-17 10:12:47,772
2022-11-17 10:11:47,771
2022-11-17 10:10:47,779
2022-11-17 10:09:47,772
2022-11-17 10:08:47,782
2022-11-17 10:07:47,780
2022-11-17 10:06:47,778
2022-11-17 10:05:46,779
2022-11-17 10:04:46,782
2022-11-17 10:03:46,788
2022-11-17 10:02:46,788
2022-11-17 10:01:46,790
2022-11-17 10:00:46,792
2022-11-17 09:59:46,793
2022-11-17 09:58:46,792
2022-11-17 09:57:46,792
2022-11-17 09:56:46,818
2022-11-17 09:55:46,814
2022-11-17 09:54:46,816
2022-11-17 09:53:46,815
2022-11-17 09:52:46,808
2022-11-17 09:51:46,827
2022-11-17 09:50:46,821
2022-11-17 09:49:46,827
2022-11-17 09:48:46,832
2022-11-17 09:47:46,815
2022-11-17 09:46:46,817
2022-11-17 09:45:46,816
2022-11-17 09:44:46,814
2022-11-17 09:43:46,814
2022-11-17 09:42:46,823
2022-11-17 09:41:46,825
2022-11-17 09:40:46,811
2022-11-17 09:39:46,819
2022-11-17 09:38:46,824
2022-11-17 09:37:46,830
2022-11-17 09:36:46,842
2022-11-17 09:35:46,842
2022-11-17 09:34:46,840
2022-11-17 09:33:46,838
2022-11-17 09:32:46,833
2022-11-17 09:31:46,833
2022-11-17 09:30:46,844
2022-11-17 09:29:46,846
2022-11-17 09:28:46,851
2022-11-17 09:27:46,858
2022-11-17 09:26:46,883
2022-11-17 09:25:46,902
2022-11-17 09:24:46,884
2022-11-17 09:23:46,896
2022-11-17 09:22:46,893
2022-11-17 09:21:46,908
2022-11-17 09:20:46,899
2022-11-17 09:19:46,918
2022-11-17 09:18:46,890
2022-11-17 09:17:46,896
2022-11-17 09:16:46,892
2022-11-17 09:15:46,888
2022-11-17 09:14:46,918
2022-11-17 09:13:46,918
2022-11-17 09:12:46,927
2022-11-17 09:11:46,926
2022-11-17 09:10:46,899
2022-11-17 09:09:46,883
2022-11-17 09:08:46,888
2022-11-17 09:07:46,873
2022-11-17 09:06:46,872
2022-11-17 09:05:46,899
2022-11-17 09:04:46,867
2022-11-17 09:03:46,908
2022-11-17 09:02:46,913
2022-11-17 09:01:46,896
2022-11-17 09:00:46,914
2022-11-17 08:59:46,929
2022-11-17 08:58:46,896
2022-11-17 08:57:46,899
2022-11-17 08:56:46,887
2022-11-17 08:55:46,863
2022-11-17 08:54:46,852
2022-11-17 08:53:46,863
2022-11-17 08:52:46,875
2022-11-17 08:51:46,860
2022-11-17 08:50:46,853
2022-11-17 08:49:46,851
2022-11-17 08:48:46,840
2022-11-17 08:47:46,841
2022-11-17 08:46:46,837
2022-11-17 08:45:46,836
2022-11-17 08:44:46,840
2022-11-17 08:43:46,830
2022-11-17 08:42:46,823
2022-11-17 08:41:46,834
2022-11-17 08:40:46,828
2022-11-17 08:39:46,830
2022-11-17 08:38:46,830
2022-11-17 08:37:46,832
2022-11-17 08:36:46,829
2022-11-17 08:35:46,846
