Time,Value
2022-11-17 13:07:28,401
2022-11-17 13:05:28,407
2022-11-17 13:04:28,408
2022-11-17 13:03:28,411
2022-11-17 13:02:28,415
2022-11-17 13:01:28,414
2022-11-17 13:00:28,419
2022-11-17 12:59:28,412
2022-11-17 12:58:28,418
2022-11-17 12:57:28,417
2022-11-17 12:56:28,434
2022-11-17 12:55:28,435
2022-11-17 12:54:28,443
2022-11-17 12:53:28,430
2022-11-17 12:52:28,441
2022-11-17 12:51:28,448
2022-11-17 12:50:28,441
2022-11-17 12:49:28,451
2022-11-17 12:48:28,453
2022-11-17 12:47:28,445
2022-11-17 12:46:28,462
2022-11-17 12:45:28,452
2022-11-17 12:44:28,460
2022-11-17 12:43:28,461
2022-11-17 12:42:28,458
2022-11-17 12:41:28,472
2022-11-17 12:40:28,468
2022-11-17 12:39:28,464
2022-11-17 12:38:28,464
2022-11-17 12:37:28,461
2022-11-17 12:36:28,455
2022-11-17 12:35:28,455
2022-11-17 12:34:28,459
2022-11-17 12:33:28,457
2022-11-17 12:32:28,460
2022-11-17 12:31:28,461
2022-11-17 12:30:28,460
2022-11-17 12:29:28,448
2022-11-17 12:28:28,448
2022-11-17 12:27:28,448
2022-11-17 12:26:28,454
2022-11-17 12:25:28,459
2022-11-17 12:24:28,455
2022-11-17 12:23:28,461
2022-11-17 12:22:28,466
2022-11-17 12:21:28,468
2022-11-17 12:20:28,476
2022-11-17 12:19:28,479
2022-11-17 12:18:28,474
2022-11-17 12:17:28,482
2022-11-17 12:16:28,477
2022-11-17 12:15:28,486
2022-11-17 12:14:28,486
2022-11-17 12:13:28,481
2022-11-17 12:12:28,488
2022-11-17 12:11:28,483
2022-11-17 12:10:28,489
2022-11-17 12:09:28,489
2022-11-17 12:08:28,494
2022-11-17 12:07:28,496
2022-11-17 12:06:28,501
2022-11-17 12:05:28,506
2022-11-17 12:04:28,522
2022-11-17 12:03:28,528
2022-11-17 12:02:28,529
2022-11-17 12:01:28,531
2022-11-17 12:00:28,521
2022-11-17 11:59:28,527
2022-11-17 11:58:28,526
2022-11-17 11:57:28,523
2022-11-17 11:56:28,528
2022-11-17 11:55:28,532
2022-11-17 11:54:28,535
2022-11-17 11:53:28,546
2022-11-17 11:52:28,542
2022-11-17 11:51:28,548
2022-11-17 11:50:28,548
2022-11-17 11:49:27,556
2022-11-17 11:48:27,551
2022-11-17 11:47:27,552
2022-11-17 11:46:27,550
2022-11-17 11:45:27,557
2022-11-17 11:44:27,568
2022-11-17 11:43:27,562
2022-11-17 11:42:27,572
2022-11-17 11:41:27,569
2022-11-17 11:40:27,571
2022-11-17 11:39:27,580
2022-11-17 11:38:27,581
2022-11-17 11:37:27,590
2022-11-17 11:36:27,588
2022-11-17 11:35:27,588
2022-11-17 11:34:27,600
2022-11-17 11:33:27,604
2022-11-17 11:32:27,610
2022-11-17 11:31:27,603
2022-11-17 11:30:27,599
2022-11-17 11:29:27,609
2022-11-17 11:28:27,605
2022-11-17 11:27:27,604
2022-11-17 11:26:27,606
2022-11-17 11:25:27,602
2022-11-17 11:24:27,607
2022-11-17 11:23:27,607
2022-11-17 11:22:27,609
2022-11-17 11:21:27,606
2022-11-17 11:20:27,609
2022-11-17 11:19:27,603
2022-11-17 11:18:27,597
2022-11-17 11:17:27,595
2022-11-17 11:16:27,591
2022-11-17 11:15:27,591
2022-11-17 11:14:27,587
2022-11-17 11:13:27,590
2022-11-17 11:12:27,604
2022-11-17 11:11:27,598
2022-11-17 11:10:27,605
2022-11-17 11:09:27,607
2022-11-17 11:08:27,612
2022-11-17 11:07:27,610
2022-11-17 11:06:27,614
2022-11-17 11:05:27,615
2022-11-17 11:04:27,611
2022-11-17 11:03:27,623
2022-11-17 11:02:27,627
2022-11-17 11:01:27,626
2022-11-17 11:00:27,620
2022-11-17 10:59:27,623
2022-11-17 10:58:27,623
2022-11-17 10:57:27,614
2022-11-17 10:56:27,616
2022-11-17 10:55:27,617
2022-11-17 10:54:27,620
2022-11-17 10:53:27,631
2022-11-17 10:52:27,616
2022-11-17 10:51:27,624
2022-11-17 10:50:27,616
2022-11-17 10:49:27,629
2022-11-17 10:48:27,639
