Time,Value1,Value2,Value3
2022/11/28 20:01,49.6875,49.8125,49.8125
2022/11/28 20:00,49.6875,49.875,49.8125
2022/11/28 19:59,49.75,49.8125,49.8125
2022/11/28 19:58,49.6875,49.8125,49.75
2022/11/28 19:57,49.6875,49.8125,49.75
2022/11/28 19:56,49.625,49.75,49.6875
2022/11/28 19:55,49.625,49.75,49.6875
2022/11/28 19:54,49.5625,49.75,49.6875
2022/11/28 19:53,49.5625,49.6875,49.625
2022/11/28 19:52,49.5,49.6875,49.625
2022/11/28 19:51,49.5,49.6875,49.625
2022/11/28 19:50,49.4375,49.6875,49.625
2022/11/28 19:49,49.4375,49.6875,49.625
2022/11/28 19:48,49.4375,49.6875,49.625
2022/11/28 19:47,49.4375,49.6875,49.625
2022/11/28 19:46,49.4375,49.6875,49.625
2022/11/28 19:45,49.4375,49.6875,49.625
2022/11/28 19:44,49.4375,49.75,49.6875
2022/11/28 19:43,49.5,49.75,49.6875
2022/11/28 19:42,49.5625,49.75,49.6875
2022/11/28 19:41,49.5625,49.8125,49.75
2022/11/28 19:40,49.625,49.8125,49.75
2022/11/28 19:39,49.625,49.8125,49.75
2022/11/28 19:38,49.6875,49.875,49.8125
2022/11/28 19:37,49.75,49.875,49.8125
2022/11/28 19:36,49.75,49.875,49.8125
2022/11/28 19:35,49.75,49.875,49.8125
2022/11/28 19:34,49.75,49.875,49.8125
2022/11/28 19:33,49.75,49.875,49.8125
2022/11/28 19:32,49.75,49.875,49.8125
2022/11/28 19:31,49.75,49.8125,49.8125
2022/11/28 19:30,49.75,49.8125,49.75
2022/11/28 19:29,49.6875,49.8125,49.75
2022/11/28 19:28,49.6875,49.75,49.6875
2022/11/28 19:27,49.625,49.75,49.6875
2022/11/28 19:26,49.5625,49.6875,49.625
2022/11/28 19:25,49.5625,49.6875,49.625
2022/11/28 19:24,49.5,49.6875,49.625
2022/11/28 19:23,49.5,49.6875,49.5625
2022/11/28 19:22,49.5,49.625,49.5625
2022/11/28 19:21,49.4375,49.625,49.5625
2022/11/28 19:20,49.4375,49.625,49.5625
2022/11/28 19:19,49.4375,49.6875,49.5625
2022/11/28 19:18,49.4375,49.6875,49.625
2022/11/28 19:17,49.4375,49.6875,49.625
2022/11/28 19:16,49.5,49.6875,49.625
2022/11/28 19:15,49.5,49.75,49.6875
2022/11/28 19:14,49.5,49.75,49.6875
2022/11/28 19:13,49.5625,49.75,49.6875
2022/11/28 19:12,49.5625,49.75,49.75
2022/11/28 19:11,49.625,49.8125,49.75
2022/11/28 19:10,49.625,49.8125,49.75
2022/11/28 19:09,49.6875,49.8125,49.75
